"who"	"when"
"lfrancois"	"2019-06-25"
"lfrancois"	"2019-06-25"
"lfrancois"	"2019-06-25"
"lfrancois"	"2019-06-25"
"lfrancois"	"2019-06-25"
"lfrancois"	"2019-06-25"
"lfrancois"	"2019-07-17"
"lfrancois"	"2019-07-17"
"lfrancois2"	"2019-07-19"
"lfrancois"	"2019-07-19"
"lfrancois"	"2019-07-22"
"lfrancois"	"2019-07-22"
